Gene,MET_H_C1,MET_H_C2,MET_H_C3,MET_H_C4,MET_H_C5,MET_L_C1,MET_L_C2,MET_L_C3,MET_L_C4,MET_L_C5
Ackr2,160,0,0,0,13,9,10,32,40,15
Pou2af1,146,0,0,45,8,0,9,11,43,97
Gm2560,177,0,0,0,0,1,1,0,1,0
Htr1a,0,0,0,0,0,0,0,0,0,1
Rhbg,0,650,0,0,0,17,29,48,48,5
Tnfrsf12a,1994,1019,1257,614,1373,608,918,516,910,266
Pak1,275,1141,1204,626,1593,564,1219,616,1108,501
Pigl,38,54,101,26,137,105,161,103,162,90
Mup7,0,0,0,0,0,0,0,0,0,0
AW112010,131,0,72,61,410,62,122,83,263,149
Map3k2,2962,2382,3608,2501,4972,3025,3942,2017,4225,2299
Slc16a14,0,25,641,78,222,1219,1145,259,172,139
A930006K02Rik,0,0,0,0,0,1,6,3,4,17
Plekhg2,1121,1007,1653,1398,1898,1414,1667,1354,1552,1414
Ociad1,2692,2386,2505,1579,3186,1402,2380,1391,3286,1671
Rrp15,612,532,686,261,781,290,572,263,727,357
Limd2,1146,444,1622,877,2158,839,1645,581,1361,758
Katna1,624,1385,1099,659,1409,809,1277,583,1229,694
Tspan10,0,0,0,0,0,1,0,1,3,4
Ube2c,948,856,798,431,1042,103,492,410,860,443
Gria4,0,83,22,48,118,363,74,207,80,190
Ifngr2,1590,823,3306,1767,4439,3170,4951,1597,3071,1829
Lppr4,0,0,20,0,0,2,6,26,108,21
Snx2,2494,1598,2958,1547,4228,1747,2799,1166,4431,1483
Cd207,0,0,0,0,0,0,2,2,1,5
Lpcat4,194,722,1085,538,1082,829,1081,609,699,428
Hyal4,0,0,0,0,0,0,0,0,0,0
Scgb1a1,0,0,0,0,0,0,1,0,2,0
Mcts1,401,479,473,243,602,348,467,227,579,280
Pmfbp1,0,0,0,0,0,0,0,1,1,4
2310002F09Rik,0,0,0,0,0,0,4,9,1,3
Snord83b,0,3,0,0,0,21,25,14,20,8
Mir6917,0,0,0,0,0,0,0,0,0,0
Med16,478,453,690,383,861,498,757,583,936,518
Eno4,0,0,0,0,0,6,4,5,36,32
Sash1,2828,4372,5626,2761,5078,3203,5114,3949,5768,3060
Kcna3,296,1,4,0,37,35,25,16,42,52
Tpbpa,0,0,0,0,0,0,0,0,0,0
Cblb,2389,1631,1025,857,1532,697,1052,953,1914,1018
Fat3,0,0,651,229,82,60,251,157,356,787
Mrpl47,238,235,293,150,309,175,344,140,381,183
Nabp1,1758,1742,501,347,826,584,613,1073,686,572
Lcn5,0,0,0,0,0,0,0,1,0,0
Spata2l,13,11,15,9,67,47,77,78,112,52
Pola2,381,509,669,414,789,302,655,455,741,587
Cript,607,689,713,348,856,364,666,351,872,380
Coa6,150,93,152,79,231,92,227,105,292,141
Lpar5,0,850,0,0,11,8,21,36,70,16
Hoxb2,0,40,596,322,716,459,656,298,574,247
Sec16b,468,115,87,139,350,54,81,148,142,184
