Gene,MET_H_C1,MET_H_C2,MET_H_C3,MET_H_C4,MET_H_C5,MET_L_C1,MET_L_C2,MET_L_C3,MET_L_C4,MET_L_C5
Asb14,0,0,0,0,0,0,8,0,3,21
Sf1,3064,4525,3952,2403,4498,2538,3608,2714,3735,2723
H2-Ke6,217,262,233,112,379,185,279,256,530,304
Tlr1,131,64,287,56,386,162,194,110,295,344
Hltf,1294,1298,1683,1116,2075,1054,1567,956,2325,1114
Ilk,2302,1061,2415,1633,2878,1611,2442,1557,2854,2267
Mon1a,221,665,339,145,495,216,396,295,398,211
Sec61a1,12808,8524,10350,4478,11608,5430,8916,4399,9283,4271
Arhgef40,4658,665,1910,1541,2333,920,1495,1537,1772,1686
Slit1,228,466,89,45,39,2,43,33,87,32
Letmd1,662,807,421,247,603,354,478,393,774,466
Nol4,0,0,0,0,0,10,7,9,0,11
Isyna1,3433,886,4012,1506,3478,1277,3029,1389,4783,1684
Ahcy,214,301,426,171,411,154,392,242,436,247
Hist2h3b,401,413,596,310,1075,76,490,198,758,329
Lcn2,7431,1316,51512,22081,68442,59581,97958,12330,24469,20977
Tmub1,39,49,113,42,196,78,128,93,197,89
Hyi,137,58,158,51,190,112,117,117,317,151
Akr7a5,410,243,618,254,722,355,649,475,882,368
Hymai,34,0,0,0,0,46,33,57,65,61
4931430N09Rik,0,0,0,0,0,0,0,0,1,2
Dstyk,1128,1365,1231,688,1474,714,1011,1094,1852,984
Slc25a51,3797,2913,2577,1596,3052,1808,2482,1941,3936,1822
Nr3c2,27,0,60,5,274,74,98,186,261,160
Mturn,326,117,331,150,251,188,220,433,1473,540
9130230L23Rik,0,0,0,0,0,53,37,25,22,17
Gm38402,0,0,0,0,0,7,16,0,4,24
Rnf187,1810,1989,2263,1200,2715,1154,2060,1331,2665,1464
Phf10,1521,1689,881,573,1268,536,877,548,1374,676
B3gnt8,11,284,153,24,75,32,88,68,164,97
Speer4d,0,0,0,0,0,0,1,0,1,0
Prss32,0,0,26,0,769,75,143,10,39,35
2010012O05Rik,161,115,200,134,252,160,301,148,314,179
Grsf1,3213,2632,2306,1209,2661,1398,2314,1293,2861,1295
Plek2,36,931,385,227,423,227,454,232,326,185
Tex30,170,155,250,87,202,158,243,92,387,137
Hist2h2ab,16,45,45,0,58,24,64,67,167,53
Eng,2740,792,3888,1384,1960,1164,1878,1521,2645,1937
Hnf1a,0,0,0,0,53,11,7,17,12,4
Bcas3os2,0,0,0,0,0,0,0,2,0,2
Snrnp40,761,1011,1220,555,1333,504,1047,482,1091,637
Gata4,0,0,0,0,15,0,2,28,1571,283
Itch,3349,3369,4761,2687,6011,3711,4760,2816,5054,3078
Sele,15,0,17,0,0,14,55,252,81,200
Neu4,0,0,0,0,0,0,0,0,0,0
Gm16291,0,0,0,0,0,0,0,0,0,0
Kif19a,0,0,205,81,315,264,244,72,274,131
A730036I17Rik,0,0,0,0,0,0,0,0,2,2
Zfp703,682,798,1870,957,1894,1248,2071,1216,1452,1027
Rbfox1,0,29,0,0,0,0,21,3,46,66
Mynn,721,633,732,462,819,561,708,475,1015,602
2610001J05Rik,235,585,279,130,412,166,266,177,491,204
Dlat,1533,1294,1216,815,1880,867,1348,936,1754,985
Wfdc21,464,90,8,0,25,3,9,43,100,471
Fam163b,0,0,0,0,0,0,0,1,0,0
Gpatch11,626,566,649,328,789,307,539,345,770,387
Fn1,307556,15710,118178,68917,170540,20920,58444,59902,80975,41898
Naprt,120,321,349,208,445,237,371,219,523,260
Rrp7a,1368,1206,1495,722,1877,960,1461,964,1774,885
Gpatch2,695,799,1046,682,1473,916,1179,638,1079,818
Higd1a,673,2227,499,230,609,244,430,261,598,309
Glipr2,763,262,766,497,993,517,867,556,686,736
Taf5,211,276,154,130,286,158,285,161,343,175
Hdac1,993,1067,1358,700,1885,650,1331,593,1122,588
Rbbp9,502,196,875,621,1410,773,1175,339,1027,566
G6b,0,10,0,0,0,11,12,8,4,16
Gm1968,0,0,0,0,0,2,2,1,4,0
Lrrc1,251,2155,1056,557,1699,902,1261,739,1376,642
Ppm1f,1805,574,1320,695,1229,615,875,786,1726,907
Vwa9,817,609,1042,532,1240,556,1019,564,1050,658
Alkbh6,168,270,266,176,432,217,493,182,439,218
Lbx1,0,0,0,0,0,0,0,0,0,2
Pitx1,0,11101,113,0,7,1,6,434,355,8
Hdhd2,798,468,469,192,622,324,480,325,857,387
Fbxo31,534,290,549,330,730,390,689,438,725,639
Snapc1,233,636,438,260,603,278,346,243,484,390
Fam122b,72,143,181,101,175,106,190,150,363,199
Arhgef5,1841,5279,4936,2880,6107,3249,4956,1994,3634,2090
Skap2,1131,1352,1673,835,2412,818,1385,620,1883,1013
Hoxaas2,0,0,0,0,0,0,2,2,5,7
Intu,198,187,350,284,502,289,410,212,534,296
Ly9,269,11,230,92,296,56,106,68,586,172
Redrum,0,0,0,0,0,0,0,0,0,0
4931428F04Rik,39,190,68,75,94,113,175,102,141,133
Gm14403,490,221,316,148,366,97,190,184,602,263
Snord16a,0,0,0,0,0,9,13,8,6,3
2610042L04Rik,0,0,0,0,0,2,0,7,3,2
Bclaf1,3400,4683,5950,3773,7371,3310,5390,2830,7380,4522
Mir219c,0,0,0,0,0,3,3,3,1,1
Gm16432,0,0,0,0,0,1,1,18,9,8
Arglu1,1222,1412,1277,908,2011,792,1125,642,1570,1083
Tfb2m,196,178,277,146,314,218,317,186,328,170
Ncdn,1073,865,1166,572,1422,660,1018,767,1208,688
Eif4a2,3137,5527,5525,3837,7146,4648,5725,3624,9034,5358
Tmem180,89,10,61,15,106,104,165,70,124,64
Whsc1,2549,2548,2955,2163,3952,1890,2845,2093,3599,2451
Milr1,69,31,76,0,101,21,54,28,181,134
Zbed3,488,39,449,273,418,371,455,396,1003,426
Krt7,58,600,13156,6127,13344,6499,12779,7873,8459,2938
Smg6,2356,1851,1712,1202,2033,1263,1581,1219,2261,1430
2310002L09Rik,0,0,0,0,0,0,4,0,0,3
Usp31,1190,2663,1421,692,1204,918,1016,1501,1982,1170
Fgf15,0,0,0,0,0,0,0,0,0,1
Hist1h3i,342,589,346,143,486,74,317,181,566,269
Pcdha10,0,0,0,0,0,10,25,18,13,16
Magel2,0,0,0,0,0,1,0,0,0,0
Abhd1,162,125,82,70,212,126,123,111,247,87
Matn1,0,0,0,0,0,0,0,1,2,0
Sds,0,0,0,0,0,0,0,0,0,0
Limk2,4165,8398,2799,1531,3875,2124,2678,1871,2599,1552
